x,y
10000,2657542.4759098901,
30000,8923604.9281623643,
50000,15609640.474436812,
70000,22533094.222249873,
90000,29623747.285785172,
110000,36843716.796010844,
130000,44169195.453995407,
150000,51583808.925473899
